name,maker,expirationDate,type
Fexofenadine Hydrochloride,Major Pharmaceuticals,2019/12/30,bird
Doxycycline Hyclate,"AvKARE, Inc.",2019/03/27,hamster
POVIDONE-IODINE,Dalian Goodwood Medical Care Ltd.,2018/03/27,dog
"Acetaminophen, Diphenhydramine hydrochloride, Phenylephrine hydrochloride",Meijer Distribution Inc,2019/06/09,cat
Levonorgestrel,"Syzygy Healthcare Solutions, LLC",2019/11/25,bird
Escitalopram,"PD-Rx Pharmaceuticals, Inc.",2020/02/29,snake
Hydrocodone bitartrate and ibuprofen,"Sun Pharmaceutical Industries, Inc.",2018/12/15,bird
solifenacin succinate,Cardinal Health,2019/08/24,snake
URSODIOL,"Rising Pharmaceuticals, Inc.",2018/05/10,hamster
quahog,"Allergy Laboratories, Inc.",2016/10/15,snake
Sweetgum,"ALK-Abello, Inc.",2017/04/27,bird
"Avobenzone, Octinoxate",Beiersdorf Inc,2019/02/25,hamster
"Dextromethorphan HBr, Guaifenesin",Walgreens,2019/05/26,bird
Octinoxate and Avobenzone,Boots Retail USA Inc,2017/09/10,dog
ciprofloxacin hydrochloride and hydrocortisone,"Alcon Laboratories, Inc.",2016/12/27,cat
SODIUM FLUORIDE and POTASSIUM NITRATE,Mission Hills S.A de C.V,2020/02/04,lizard
"Potassium Chloride, Dextrose Monohydrate and Sodium Chloride",Baxter Healthcare Corporation,2018/03/18,bird
Azithromycin,"Preferred Pharmaceuticals, Inc.",2018/04/22,hamster
triclosan,"Jets, Sets, & Elephants Beauty Corp.",2016/12/12,hamster
